Name,ID,Nearest Town,County,URL
Columbus,2001800,Forest Lake,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001800
Coon,2004200,Soderville,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02004200
Coopers,2007000,Coopers Corner,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007000
Crooked,2008400,Andover,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02008400
Crossways,2001900,Centerville (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001900
Deer,2005900,Mort,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02005900
East Moore,2007501,Fridley,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007501
East Twin,2013300,Elk River,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02013300
Fawn,2003500,Stacy,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02003500
Fish,2006500,East Bethel,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02006500
George,2009100,Saint Francis (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02009100
George Watch,2000500,Lino Lakes,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000500
Golden,2004500,Circle Pines,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02004500
Grass,2009200,Oak Grove,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02009200
Grass,2011300,Ramsey (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02011300
Ham,2005300,Ham Lake,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02005300
Hart,2008100,Saint Anthony (Hennepin),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02008100
Hickey,2009600,Oak Grove,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02009600
Howard,2001600,Forest Lake,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001600
Island,2002200,Wyoming,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02002200
Itasca,2011000,Dayton,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02011000
Laddie,2007200,Spring Lake Park,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007200
Linwood,2002600,Wyoming,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02002600
Loch Ness,2058500,Circle Pines,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02058500
Locke,2007700,Fridley,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007700
Marshan,2000700,Lino Lakes,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000700
Martin,2003400,Wyoming,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02003400
McKay,2008300,Northdale,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02008300
Minard,2006700,Coopers Corner,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02006700
Moore,2007500,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007500
Mud,2003700,Martin Lake,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02003700
Mud,2009700,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02009700
Neds,2005700,Mort,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02005700
Netta,2005200,Lake Netta,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02005200
Norris,2010600,Saint Francis (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02010600
Otter,2000300,Bald Eagle,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000300
Peltier,2000400,Centerville (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000400
Pet,2003600,Martin Lake,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02003600
Pickerel,2013000,Nowthen,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02013000
Pinnaker,2012800,Nowthen,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02012800
Reshanau,2000900,Lino Lakes,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000900
Rice,2000800,Circle Pines,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02000800
Rice,2004300,Linwood,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02004300
Rogers,2010400,Oak Grove,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02010400
